EquationDelimiterGallery	Bracket	True
EquationFractionGallery	Fraction	True
EquationFunctionGallery	Function	True
EquationInsertGallery	Equation	True
EquationInsertNew	Insert New Equation	True
EquationIntegralGallery	Integral	True
EquationLaTexFormat	LaTeX	True
EquationLargeOperatorGallery	Large Operator	True
EquationLimitGallery	Limit and Log	True
EquationLinearAll	All - Linear	True
EquationLinearOne	Current - Linear	False
EquationMatrixGallery	Matrix	True
EquationNormalText	Normal Text	False
EquationOperatorGallery	Operator	True
EquationOptions	Equation Options...	True
EquationOptionsGallery	Math Options	False
EquationProfessionalAll	All - Professional	True
EquationProfessionalOne	Current - Professional	False
EquationRadicalGallery	Radical	True
EquationScriptGallery	Script	True
EquationSymbolsInsertGallery	Equation Symbols	True
EquationUnicodeFormat	Unicode	True
ExchangeFolder	Exchange Folder...	True
ExitEditCurve	Exit Edit Point	False
ExpandAllHeadings	Expand All Headings	True
ExpandCollapse	Expand/Collapse	True
ExpandHeading	Expand Heading	False
ExtendSelection	Extend Selection	True
ExtendSelectionLeft	Sent Left	True
ExtendSelectionLeftSentence	Sent Left Extend	True
ExtendSelectionRight	Sent Right	True
ExtendSelectionRightSentence	Sent Right Extend	True
ExtensibilityExperimentation		
FieldCharactersInsert	Insert Field Chars	True
FieldClick	Do Field Click	True
FieldCodes	View Field Codes	True
FieldCodesToggle	Toggle Field Codes	True
FieldInsert	Field...	True
FieldNext	Next Field	True
FieldPrevious	Previous Field	True
FieldShading	Show Field Shading	True
FieldsLock	Lock Fields	True
FieldsManage	Manage	True
FieldsUnlink	Unlink Fields	True
FieldsUnlock	Unlock Fields	True
FieldsUpdate	Update	True
FifthCorrectionAlternative	(No Suggestion)	False
FileAddDigitalSignature	Add a Digital Signature	True
FileCheckIn	Check In	False
